country,code,region_code,region,admin_region_code,admin_region,income_level_code,income_level,lending_type_code,lending_type
Aruba,ABW,LCN,Latin America & Caribbean,,,HIC,High income,LNX,Not classified
Afghanistan,AFG,SAS,South Asia,SAS,South Asia,LIC,Low income,IDX,IDA
Angola,AGO,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IBD,IBRD
Albania,ALB,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Andorra,AND,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
United Arab Emirates,ARE,MEA,Middle East & North Africa,,,HIC,High income,LNX,Not classified
Argentina,ARG,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Armenia,ARM,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
American Samoa,ASM,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),UMC,Upper middle income,LNX,Not classified
Antigua and Barbuda,ATG,LCN,Latin America & Caribbean,,,HIC,High income,IBD,IBRD
Australia,AUS,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
Austria,AUT,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Azerbaijan,AZE,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Burundi,BDI,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Belgium,BEL,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Benin,BEN,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDX,IDA
Burkina Faso,BFA,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Bangladesh,BGD,SAS,South Asia,SAS,South Asia,LMC,Lower middle income,IDX,IDA
Bulgaria,BGR,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Bahrain,BHR,MEA,Middle East & North Africa,,,HIC,High income,LNX,Not classified
"Bahamas, The",BHS,LCN,Latin America & Caribbean,,,HIC,High income,LNX,Not classified
